ManagerName,Nationality,TeamName
German Portanova,Argentina,Argentina
Alen Stajcic,Australia,Phillipines
Shui Qingxia,China,China
Nelson Abadia,Colombia,Colombia
Amelia Valverde,Costa Rica,Costa Rica
Jitka Klimkova,Czech ,New Zealand
Lars Sondergaard,Denmark,Denmark
Bev Priestman,England,Canada
Colin Bell,England,South Korea
Herve Renard,France,France
Nicolas Delepine,France,Haiti
Reynald Pedros,France,Morocco
Martina Voss-Tecklenburg,Germany,Germany
Inka Grings,Germany,Switzerland
Milena Bertolini,Italy,Italy
Lorne Donaldson,Jamaica,Jamaica
Futoshi Ikeda,Japan,Japan
Ignacio Quintana,Mexico,Panama
Sarina Wiegman,Netherlands,England
Andries Jonker,Netherlands,Netherlands
Vera Pauw,Netherlands,Republic Of Ireland
Vlatko Andonovski,USA,USA
Hege Riise,Norway,Norway
Francisco Neto,Portugal,Portugal
Desiree Ellis,South Africa,South Africa
Jorge Vilda,Spain,Spain
Pia Sundhage,Sweden,Brazil
Peter Gerhardsson,Sweden,Sweden
Tony Gustavsson,Sweden,Australia
Randy Waldrum,USA,Nigeria
Mai Duc Chung,Vietnam,Vietnam
Bruce Mwape,Zambia ,Zambia
