JerseyNo,Position,firstName,lastName,Goals,CAPS,TeamName
1,GK,Vanina ,Correa,0,61,Argentina
2,DF,Adriana ,Sachs,0,37,Argentina
3,DF,Eliana ,Stabile,5,56,Argentina
4,DF,Julieta ,Cruz,0,15,Argentina
5,MF,Vanesa,Santana,0,57,Argentina
6,DF,Aldana,Cometti,6,73,Argentina
7,MF,Romina ,Nunez,1,30,Argentina
8,MF,Daiana ,Falfan,0,33,Argentina
9,FW,Paulina,Gramaglia,0,10,Argentina
10,MF,Dalila ,Ippolito,0,21,Argentina
11,FW,Yamila ,Rodriguez,10,40,Argentina
12,GK,Lara,Esponda,0,0,Argentina
13,DF,Sophia,Braun,2,15,Argentina
14,DF,Miriam ,Mayorga,0,43,Argentina
15,MF,Maria ,Bonsegundo,20,65,Argentina
16,MF,Flavia ,Benitez,0,21,Argentina
17,MF,Camila,Gomez Ares,1,8,Argentina
18,DF,Gabriela ,Chavez,0,33,Argentina
19,FW,Mariana ,Larroquette,22,78,Argentina
20,FW,Chiara ,Singarella Sacaba,1,5,Argentina
21,FW,Erica ,Lonigro,2,15,Argentina
22,FW,Estefania ,Banini,13,53,Argentina
23,GK,Abigail ,Chaves,0,0,Argentina
1,GK,Lydia,Williams,0,102,Australia
2,DF,Courtney,Nevin,0,24,Australia
3,DF,Aivi,Luik,1,43,Australia
4,DF,Clare,Polkinghorne,16,163,Australia
5,FW,Cortnee,Vine,3,24,Australia
6,MF,Clare,Wheeler,0,14,Australia
7,DF,Steph,Catley,5,117,Australia
8,MF,Alex,Chidiac,2,30,Australia
9,FW,Caitlin,Foord,30,116,Australia
10,MF,Emily,Van Egmond,31,135,Australia
11,FW,Mary,Fowler,11,43,Australia
12,GK,Teagan,Micah,0,14,Australia
13,MF,Tameka,Yallop,12,115,Australia
14,DF,Alanna,Kennedy,9,114,Australia
15,DF,Clare,Hunt,0,13,Australia
16,FW,Hayley,Raso,15,78,Australia
17,FW,Kyah,Simon,29,111,Australia
18,GK,Mackenzie,Arnold,0,42,Australia
